Nama Jalan,Latitude,Longtitude,Lajur,Waktu,Hari,Tanggal,MOTOR,MOBIL,BUS/TRUK,JUMLAH,HEADWAY(s),GAP(s),85 P SPEED (Km/Jam),AVG. SPEED (Km/Jam),OCCUPANCY (%),LEBAR JALAN (m),PANJANG ANTRIAN (m)
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,479,292,53,824,0.37,10.28,47.50,21.31,86.30,21,700
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SELASA,12-04-2022 7:00,4232,206,139,4577,0.00,1.71,60.25,11.94,85.21,21,700
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,PAGI,KAMIS,21-04-2022 07:00,1202,746,107,2055,0.00,2.36,39.25,12.62,84.38,21,700
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,565,535,292,1392,0.12,5.03,42.25,18.19,83.65,22,700
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,PAGI,RABU,20-04-2022 07:00,2211,1801,179,4191,0.00,1.08,44.50,15.50,82.46,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,RABU,27-04-2022 07:00,2526,2064,291,4881,0.00,0.44,43.00,18.88,82.45,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,594,485,271,1350,0.03,3.02,29.00,12.90,82.22,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,11-04-2022 7:00,2515,1986,176,4677,0.00,0.83,49.75,14.06,82.10,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,14-04-2022 07:00,2321,2119,178,4618,0.02,1.79,56.50,15.75,82.04,21,680
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,1396,753,229,2378,0.02,1.37,38.25,15.50,81.99,21,680
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,PAGI,KAMIS,21-04-2022 07:00,2377,2014,199,4590,0.01,1.36,42.50,15.06,81.80,21,680
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,395,323,157,875,0.03,6.34,40.75,22.50,81.77,12.5,680
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,RABU,13-04-2022 16:00,269,271,63,603,0.41,14.93,44.75,24.94,81.75,21,680
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,PAGI,JUMAT,22-04-2022 07:00,690,227,240,1157,0.05,3.52,30.25,14.67,81.58,21,680
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,788,715,169,1672,0.12,2.39,47.75,21.62,81.24,14,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,JUMAT,08-04-2022 7:00,2339,1970,205,4514,0.00,2.51,55.00,13.38,81.13,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,2191,1885,179,4255,0.00,0.95,44.50,15.88,80.69,21,680
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,KAMIS,28-04-2022 12:00,436,575,115,1126,0.04,4.80,43.25,14.94,80.51,22,680
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,PAGI,SELASA,19-04-2022 16:00,540,471,244,1255,0.51,7.67,44.00,25.12,80.43,22,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,RABU,06-04-2022 7:00,2672,1823,264,4759,0.01,0.24,42.50,17.19,80.41,21,680
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SORE,JUMAT,22-04-2022 16:00,495,434,215,1144,0.25,3.34,43.50,22.75,80.31,22,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SELASA,12-04-2022 16:00,579,313,89,981,0.08,6.23,29.25,14.34,80.08,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SELASA,05-04-2022 7:00,2661,2071,242,4974,0.21,2.78,49.75,12.31,80.04,21,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SABTU,30-04-2022 16:00,535,450,184,1169,0.71,2.25,28.25,12.60,80.00,21,680
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,RABU,13-04-2022 07:00,1350,760,43,2153,0.08,1.01,50.50,15.25,79.95,21,680
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,PAGI,RABU,20-04-2022 07:00,1218,729,120,2067,0.00,1.16,38.00,19.31,79.95,21,680
